HAL_NAME, HAL_OWNER, HIDL, AIDL, AIDL_VERSION, FROZEN
vendor.qti.qvirt,qti,,x,"=""2""",true 
vendor.nxp.nxpnfc_aidl,qti,,x,"=""1""",true 
vendor.qti.ImsRtpService,qti,,x,"=""1""",true 
vendor.qti.MemHal,qti,,x,"=""1""",true 
vendor.qti.data.dmapconsent,qti,,x,"=""1-2""",true 
vendor.qti.data.factoryservice,qti,,x,"=""1""",true 
vendor.qti.data.mwqemaidlservice,qti,,x,"=""1""",true 
vendor.qti.data.ntn,qti,,x,"=""1""",true 
vendor.qti.data.txpwrservice,qti,,x,"=""1-7""",true 
vendor.qti.diaghal,qti,,x,"=""1""",true 
vendor.qti.gnss,qti,,x,"=""1-8""",true 
vendor.qti.hardware.ListenSoundModelAidl,qti,,x,"=""1""",true 
vendor.qti.hardware.alarm,qti,,x,"=""1""",true 
vendor.qti.hardware.bluetooth.audio,qti,,x,"=""1""",true 
vendor.qti.hardware.bluetooth.xpanprovider,qti,,x,"=""1""",true 
vendor.qti.hardware.bluetooth_sar,qti,,x,"=""1""",true 
vendor.qti.hardware.bttpi,qti,,x,"=""1-3""",true 
vendor.qti.hardware.c2pa,qti,,x,"=""1""",true 
vendor.qti.hardware.cacertaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.camera.aon,qti,,x,"=""1-2""",false 
vendor.qti.hardware.camera.offlinecamera,qti,,x,"=""1-2""",true 
vendor.qti.hardware.capabilityconfigstore,qti,,x,"=""1""",true 
vendor.qti.hardware.data.cneaidlservice.internal.api,qti,,x,"=""1""",true 
vendor.qti.hardware.data.cneaidlservice.internal.constants,qti,,x,"=""1""",true 
vendor.qti.hardware.data.cneaidlservice.internal.server,qti,,x,"=""1""",true 
vendor.qti.hardware.data.connectionaidl,qti,,x,"=""1""",true 
vendor.qti.hardware.data.connectionfactory,qti,,x,"=""1""",true 
vendor.qti.hardware.data.dataactivity,qti,,x,"=""1""",true 
vendor.qti.hardware.data.dynamicddsaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.data.flowaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.data.iwlandata,qti,,x,"=""1-2""",true 
vendor.qti.hardware.data.ka,qti,,x,"=""1""",true 
vendor.qti.hardware.data.lceaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.data.qmiaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.debugutils,qti,,x,"=""1""",true 
vendor.qti.hardware.display.aiqe,qti,,x,"=""1-2""",true 
vendor.qti.hardware.display.color,qti,,x,"=""1-2""",true 
vendor.qti.hardware.display.composer3,qti,,x,"=""1-4""",true 
vendor.qti.hardware.display.config,qti,,x,"=""1-12""",true 
vendor.qti.hardware.display.demura,qti,,x,"=""1""",true 
vendor.qti.hardware.display.postproc,qti,,x,"=""1""",true 
vendor.qti.hardware.dpmaidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.dsp,qti,,x,"=""1""",true 
vendor.qti.hardware.embmssl,qti,,x,"=""1-2""",true 
vendor.qti.hardware.factory,qti,,x,"=""1""",true 
vendor.qti.hardware.fingerprint,qti,,x,"=""1""",true 
vendor.qti.hardware.fm,qti,,x,"=""1""",true 
vendor.qti.hardware.hexlp,qti,,x,"=""1""",true 
vendor.qti.hardware.minkipcbinder,qti,,x,"=""1""",true 
vendor.qti.hardware.mwqemadapteraidlservice,qti,,x,"=""1""",true 
vendor.qti.hardware.paleventnotifier,qti,,x,"=""1-2""",true 
vendor.qti.hardware.perf2,qti,,x,"=""1""",true 
vendor.qti.hardware.power.powermodule,qti,,x,"=""1""",true 
vendor.qti.hardware.qasr,qti,,x,"=""1-2""",true 
vendor.qti.hardware.qconfig,qti,,x,"=""1""",true 
vendor.qti.hardware.qseecom,qti,,x,"=""1""",true 
vendor.qti.hardware.qspa,qti,,x,"=""1""",true 
vendor.qti.hardware.qteeconnector,qti,,x,"=""1""",true 
vendor.qti.hardware.qxr,qti,,x,"=""1-2""",true 
vendor.qti.hardware.radio.am,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.atcmdfwd,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.atfwd,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.common,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.ims,qti,,x,"=""1-20""",true 
vendor.qti.hardware.radio.internal.deviceinfo,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.lpa,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.qcrilhook,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.qtiradio,qti,,x,"=""1-15""",true 
vendor.qti.hardware.radio.qtiradioconfig,qti,,x,"=""1-7""",true 
vendor.qti.hardware.radio.uim,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.uim_remote_client,qti,,x,"=""1""",true 
vendor.qti.hardware.radio.uim_remote_server,qti,,x,"=""1""",true 
vendor.qti.hardware.secureprocessor.common,qti,,x,"=""1""",true 
vendor.qti.hardware.secureprocessor.config,qti,,x,"=""1""",true 
vendor.qti.hardware.secureprocessor.device,qti,,x,"=""1""",true 
vendor.qti.hardware.sensorscalibrate,qti,,x,"=""1""",true 
vendor.qti.hardware.servicetrackeraidl,qti,,x,"=""1""",true 
vendor.qti.hardware.sigma_miracast_aidl,qti,,x,"=""1""",true 
vendor.qti.hardware.soter,qti,,x,"=""1""",true 
vendor.qti.hardware.spu,qti,,x,"=""1-2""",true 
vendor.qti.hardware.systemhelperaidl,qti,,x,"=""1""",true 
vendor.qti.hardware.trustedui,qti,,x,"=""1""",true 
vendor.qti.hardware.vpp,qti,,x,"=""1""",true 
vendor.qti.hardware.wifi.supplicant,qti,,x,"=""1""",true 
vendor.qti.hardware.wifi.wificfr,qti,,x,"=""1""",true 
vendor.qti.hardware.wifi.wifilearner,qti,,x,"=""1""",true 
vendor.qti.hardware.wifi.wifimyftm,qti,,x,"=""1""",true 
vendor.qti.hardware.wifidisplaysession_aidl,qti,,x,"=""1""",true 
vendor.qti.ims.callcapabilityaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.configaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.connectionaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.datachannelservice,qti,,x,"=""1-3""",true 
vendor.qti.ims.factoryaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.imscmaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.rcssipaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.rcsuceaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.uceaidlservice,qti,,x,"=""1""",true 
vendor.qti.latencyaidlservice,qti,,x,"=""1""",true 
vendor.qti.memory.pasrmanager,qti,,x,"=""1""",true 
vendor.qti.qccsyshal_aidl,qti,,x,"=""1""",true 
vendor.qti.qccvndhal_aidl,qti,,x,"=""1""",true 
vendor.qti.qepi,qti,,x,"=""1""",true 
vendor.qti.qesdhalaidl,qti,,x,"=""1-2""",true 
vendor.qti.qesdsys,qti,,x,"=""1-4""",true 
vendor.qti.qspmhal,qti,,x,"=""1""",true 
vendor.qti.qvirtvendor,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices.qape,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices.sanityService,qti,,x,"=""1""",true 
vendor.qti.syshealthmon,qti,,x,"=""1""",true 
